grid_id,country,district_code,subcounty_code,parish_code,building_id,latitude,longitude,address,division,zip_code,house_number,street,city,region,address_status
UG-ENT-000001,UG,ENT,21402,UNASSIGNED,000001,0.1491144,32.4216234,"1001 Lake Victoria Drive, Lake Victoria, Entebbe, 21402, Uganda",Lake Victoria,21402,1001,Lake Victoria Drive,Entebbe,Central Region,Proposed / synthetic — not an official postal address
UG-ENT-000002,UG,ENT,21402,UNASSIGNED,000002,0.1251276,32.4088142,"1003 Lake Victoria Drive, Lake Victoria, Entebbe, 21402, Uganda",Lake Victoria,21402,1003,Lake Victoria Drive,Entebbe,Central Region,Proposed / synthetic — not an official postal address
UG-ENT-000003,UG,ENT,21402,UNASSIGNED,000003,0.1192824,32.4088468,"1005 Lake Victoria Drive, Lake Victoria, Entebbe, 21402, Uganda",Lake Victoria,21402,1005,Lake Victoria Drive,Entebbe,Central Region,Proposed / synthetic — not an official postal address
UG-ENT-000004,UG,ENT,21402,UNASSIGNED,000004,0.1156304,32.4167588,"1007 Lake Victoria Drive, Lake Victoria, Entebbe, 21402, Uganda",Lake Victoria,21402,1007,Lake Victoria Drive,Entebbe,Central Region,Proposed / synthetic — not an official postal address
UG-ENT-000005,UG,ENT,21402,UNASSIGNED,000005,0.101177,32.4114214,"1009 Lake Victoria Drive, Lake Victoria, Entebbe, 21402, Uganda",Lake Victoria,21402,1009,Lake Victoria Drive,Entebbe,Central Region,Proposed / synthetic — not an official postal address
UG-ENT-000006,UG,ENT,21402,UNASSIGNED,000006,0.1067826,32.4115484,"1011 Lake Victoria Drive, Lake Victoria, Entebbe, 21402, Uganda",Lake Victoria,21402,1011,Lake Victoria Drive,Entebbe,Central Region,Proposed / synthetic — not an official postal address
UG-ENT-000007,UG,ENT,21402,UNASSIGNED,000007,0.104316,32.4289042,"1013 Lake Victoria Drive, Lake Victoria, Entebbe, 21402, Uganda",Lake Victoria,21402,1013,Lake Victoria Drive,Entebbe,Central Region,Proposed / synthetic — not an official postal address
UG-ENT-000008,UG,ENT,21402,UNASSIGNED,000008,0.095204,32.4314672,"1015 Lake Victoria Drive, Lake Victoria, Entebbe, 21402, Uganda",Lake Victoria,21402,1015,Lake Victoria Drive,Entebbe,Central Region,Proposed / synthetic — not an official postal address
UG-ENT-000009,UG,ENT,21404,UNASSIGNED,000009,0.0778064,32.4495992,"1017 Airport Boulevard, Katabi, Entebbe, 21404, Uganda",Katabi,21404,1017,Airport Boulevard,Entebbe,Central Region,Proposed / synthetic — not an official postal address
UG-ENT-000010,UG,ENT,21404,UNASSIGNED,000010,0.0793952,32.4504778,"1019 Victoria Avenue, Katabi, Entebbe, 21404, Uganda",Katabi,21404,1019,Victoria Avenue,Entebbe,Central Region,Proposed / synthetic — not an official postal address
UG-ENT-000011,UG,ENT,21404,UNASSIGNED,000011,0.0812099,32.4503378,"1021 Victoria Avenue, Katabi, Entebbe, 21404, Uganda",Katabi,21404,1021,Victoria Avenue,Entebbe,Central Region,Proposed / synthetic — not an official postal address
UG-ENT-000012,UG,ENT,21404,UNASSIGNED,000012,0.0663064,32.4501294,"1023 Victoria Avenue, Katabi, Entebbe, 21404, Uganda",Katabi,21404,1023,Victoria Avenue,Entebbe,Central Region,Proposed / synthetic — not an official postal address
UG-ENT-000013,UG,ENT,21404,UNASSIGNED,000013,0.068039,32.4507206,"1025 Victoria Avenue, Katabi, Entebbe, 21404, Uganda",Katabi,21404,1025,Victoria Avenue,Entebbe,Central Region,Proposed / synthetic — not an official postal address
UG-ENT-000014,UG,ENT,21404,UNASSIGNED,000014,0.0696386,32.4510014,"1027 Victoria Avenue, Katabi, Entebbe, 21404, Uganda",Katabi,21404,1027,Victoria Avenue,Entebbe,Central Region,Proposed / synthetic — not an official postal address
UG-ENT-000015,UG,ENT,21404,UNASSIGNED,000015,0.071321,32.4507832,"1029 Victoria Avenue, Katabi, Entebbe, 21404, Uganda",Katabi,21404,1029,Victoria Avenue,Entebbe,Central Region,Proposed / synthetic — not an official postal address
UG-ENT-000016,UG,ENT,21404,UNASSIGNED,000016,0.0731764,32.4509004,"1031 Victoria Avenue, Katabi, Entebbe, 21404, Uganda",Katabi,21404,1031,Victoria Avenue,Entebbe,Central Region,Proposed / synthetic — not an official postal address
UG-ENT-000017,UG,ENT,21404,UNASSIGNED,000017,0.0753064,32.4515638,"1033 Victoria Avenue, Katabi, Entebbe, 21404, Uganda",Katabi,21404,1033,Victoria Avenue,Entebbe,Central Region,Proposed / synthetic — not an official postal address
UG-ENT-000018,UG,ENT,21401,UNASSIGNED,000018,0.0772512,32.461175,"1035 Victoria Avenue, Entebbe Central, Entebbe, 21401, Uganda",Entebbe Central,21401,1035,Victoria Avenue,Entebbe,Central Region,Proposed / synthetic — not an official postal address
